x,y,type
-0.00138232456496,-0.00110511711733,1
-0.00180833589442,-0.00231400849608,1
-0.0015738206416,0.000133583489968,1
-0.00156902798421,-7.2203501392e-05,1
-0.00109613131924,-0.000598530831979,1
-0.00100742618415,-0.00171733348066,1
-0.00113028187357,0.000240022847319,1
-0.00148141334823,-0.000610810848427,1
-0.000551352467746,-0.00204170412172,1
-0.00149111888399,-0.000691995883166,1
-0.00260028620606,0.0056322191622,1
-0.00168424085092,-0.000425819506912,1
-0.0016547133334,0.000699634919773,1
-0.00175911440574,0.00088548763271,1
0.000548249653219,-0.0032495579013,1
0.00728145322615,-0.00644456785784,1
-0.00494556383229,0.00891130952659,1
-0.00230831894413,0.00187035341173,1
0.00361246340306,-0.00415559375875,1
-0.000938611702336,0.00122675498151,1
-0.00115193385658,-0.000748072062107,1
-0.00128562022523,-0.00158808328863,1
-0.00112583392593,-0.000929897352231,1
-0.00221839684282,0.00133188712103,1
-0.000964009076885,0.000674766268662,1
-0.00204327123135,0.00157259727451,1
-0.0021162805307,0.0015525019649,1
0.07915491621,-0.0319348821391,1
-0.00158955807327,-0.000762812142993,1
0.00575836844856,-0.000923843274743,1
0.00672279077321,-0.00551073851589,1
-0.00147663066792,-0.000578415167283,1
0.000721506249523,-0.00191563064438,1
-0.00123773091915,-3.52443761264e-05,1
-0.00146964477088,0.000412757143831,1
-0.00204344219714,0.000719798778912,1
-0.00170687668903,-0.000295666228943,1
0.00663826170615,-0.00413447140809,1
-0.000948344678374,-0.00135529236181,1
-0.000438858614566,-0.00228880502075,1
-0.00152746711925,5.25033905532e-05,1
-0.00139174556811,-0.000391553803133,1
-0.00176227804783,0.000717988849407,1
-0.000211543538164,-0.00353849109252,1
-0.00173572172657,-0.000845390039113,1
-0.00106611944751,0.00108028914677,1
-0.00383761832818,0.00630019565452,1
-0.00143510748657,-0.000627583874698,1
-6.97275264289e-05,0.000829638884541,1
0.0043025623092,-0.00409514767879,1
-0.000627416428498,-0.00118591041999,1
-0.00180723495964,0.000311612590843,1
-0.000484093371224,-0.00236267972224,1
-0.00274345114766,0.00580501422588,1
0.000946363317387,-0.002048368058,1
-0.0015460452483,0.00161718913053,1
-0.00176255938613,0.000745590579873,1
-0.000625742655095,-0.000519624063699,1
-0.00381643073759,0.0054576414084,1
0.0106720532872,-0.00935920276094,1
-0.00127470505014,-0.00211837943211,1
-0.00160309725515,-0.000346412547362,1
-0.00113863908204,-0.000592863787801,1
-0.0018526681823,-0.0004296551614,1
-0.00110773815765,0.000108346342369,1
-0.00218807516216,0.00215376679094,1
-0.00323894199427,0.00533938532505,1
